genre,week,ExponentialSmoothing_Count,ARIMA_Count,Prophet_Count,LSTM_Count,ExponentialSmoothing_Rank,ARIMA_Rank,Prophet_Rank,LSTM_Rank
Pop,2022-02-07,23.044841926006683,21.194008512286818,19.087817794023245,25.579487,33.04663177476664,38.917473519053246,38.58144689984663,41.305157
Pop,2022-02-14,22.902459664883487,21.156493179727214,19.336532954133038,25.726355,32.442374625220864,38.95521606931474,39.0849072534066,39.44609
Pop,2022-02-21,22.99803496157088,21.120998598178993,19.335726132428054,25.97518,32.58504197251129,38.97281058864799,39.18941163148466,39.49278
Pop,2022-02-28,22.41133067407322,21.092457340766217,18.983102978809683,26.856794,32.12286838860556,38.995262987440945,38.821528324276215,38.92507
Pop,2022-03-07,22.332118968050573,21.0658872105519,18.50506208794019,27.549826,31.909498906304222,39.00451339322657,38.293937175707626,37.98829
Pop,2022-03-14,22.96755121946977,21.04421065269973,18.238531878151825,28.045265,33.16630162267964,39.01797375156587,38.020793437056405,35.389317
Pop,2022-03-21,22.68215614329868,21.024294288199027,18.277683742513283,28.657906,33.01965066259869,39.02269586642689,38.1317292562044,37.183846
R&B,2021-11-08,9.300673632227719,8.748283574164958,3.895743184878425,8.433167,52.97237740752816,52.34620749140993,54.57102036905601,51.519104
R&B,2021-11-15,9.681970484546992,8.551374666705197,3.7990141373223825,7.937664,53.45382515527669,52.31210535180121,54.266931670117145,50.880505
R&B,2021-11-22,9.444258624211708,8.371937583486066,3.716133053049866,8.301554,52.51279339493171,52.231198932694184,53.86224221294091,50.758205
R&B,2021-11-29,9.587596478315685,8.222020728215025,3.7388608651421933,7.8471227,52.46015443019669,52.18638687861193,53.458503213016115,45.176903
R&B,2021-12-06,9.74671545184928,8.086456974083124,3.849422723671232,7.172405,51.75680573990973,52.1320970628617,53.24956263828884,50.41504
R&B,2021-12-13,9.842152677790729,7.972783880477242,3.9623995853274803,7.557726,52.41691417178835,52.101462372042086,53.3948496489285,50.392555
R&B,2021-12-20,9.397835266408638,7.870327620075703,4.04971272908446,7.92375,52.53745774940403,52.063940658240334,53.8817462177982,53.028152
R&B,2021-12-27,9.429510994255317,7.784149743655961,4.177277904384031,7.976384,53.20368760358551,52.04308808589418,54.48236665424685,51.073586
R&B,2022-01-03,9.207238719142174,7.70670545010942,4.397144067651039,7.370174,51.010617488771054,52.017143985277514,54.85538959099333,52.135105
R&B,2022-01-10,9.143693864899733,7.641380825436297,4.6354339116144665,8.090048,50.82313046754294,52.00295691843421,54.74586985667636,52.219032
R&B,2022-01-17,8.9849515438224,7.582835607061087,4.737511796796679,7.059417,50.3803505493518,51.985014307801606,54.15963958674519,58.626312
R&B,2022-01-24,8.969038997067045,7.533324112953428,4.638319736247452,6.94477,50.81381686742027,51.97536682372752,53.390041017128034,61.741077
R&B,2022-01-31,8.984972038351284,7.489061162199522,4.455990914296435,6.9294424,49.43275826535124,51.96295529737832,52.86118869946942,55.05755
R&B,2022-02-07,9.191605992131072,7.451539022182616,4.381813419498227,7.8898115,50.487230356439966,51.956398205808405,52.873076837419596,58.869183
R&B,2022-02-14,9.176125894883496,7.4180708196339795,4.480132201856611,7.5579762,51.10311286770042,51.94781084662713,53.409233078755136,63.758488
R&B,2022-02-21,9.351111033933037,7.389637621338329,4.626497055782212,6.3697467,52.33591813894837,51.94335664105038,54.13915858096257,62.637314
R&B,2022-02-28,9.63698982400314,7.364329262509209,4.655575469770255,6.290127,53.09824945439367,51.93741383870874,54.62342023792096,60.21013
R&B,2022-03-07,9.383168360145069,7.342785373482529,4.546067399826869,5.805136,52.78236624416955,51.93438987855427,54.58797593551144,54.26867
R&B,2022-03-14,9.764182068814534,7.323645815539068,4.430489048235972,5.4162297,53.3485784081018,51.93027627411369,54.07978359087424,49.7681
R&B,2022-03-21,9.653149032933872,7.307323334594476,4.428202012159908,5.440816,53.07089912811648,51.92822458112457,53.399287230293154,48.78604
Rap/Hip Hop,2021-11-08,29.124713048647187,29.412045379784686,39.950740594014015,29.988207,57.48543849165551,56.67578476560017,55.00765490677815,56.67925
Rap/Hip Hop,2021-11-15,29.32085556114864,29.849095545682424,40.05221161916421,30.169975,57.696515456406,56.00938192890783,54.97769292171486,49.185444
Rap/Hip Hop,2021-11-22,29.205345949981997,30.027187614751995,39.98051871238899,27.656868,57.89861267451222,56.04108579799224,54.989631227247585,50.32262
