song,artist,song_clean,artist_clean
WOLD,Harry Chapin,WOLD,Harry Chapin
We're Getting Careless With Our Love,Johnnie Taylor,We're Getting Careless With Our Love,Johnnie Taylor
On A Night Like This,Bob Dylan,On A Night Like This,Bob Dylan
Homely Girl,The Chi-lites,Homely Girl,The Chi-lites
I Wish It Was Me,Tyrone Davis,I Wish It Was Me,Tyrone Davis
She,Southcote,She,Southcote
Music Eyes,Heartsfield,Music Eyes,Heartsfield
I Love,Tom T. Hall,I Love,Tom T. Hall
I Like To Live The Love,B.B. King,I Like To Live The Love,B.B. King
You're Sixteen,Ringo Starr,You're Sixteen,Ringo Starr
Let Me Be There,Olivia Newton-John,Let Me Be There,Olivia Newton-John
Energy Crisis '74,Dickie Goodman,Energy Crisis '74,Dickie Goodman
It's Been A Long Time,The New Birth,It's Been A Long Time,The New Birth
Last Kiss,Wednesday,Last Kiss,Wednesday
Americans,Byron MacGregor,Americans,Byron MacGregor
Doo Doo Doo Doo Doo (heartbreaker),The Rolling Stones,Doo Doo Doo Doo Doo,The Rolling Stones
Mr. Natural,Bee Gees,Mr. Natural,Bee Gees
Show And Tell,Al Wilson,Show And Tell,Al Wilson
Abra-Ca-Dabra,The De Franco Family,Abra-Ca-Dabra,The De Franco Family
Life Is A Song Worth Singing,Johnny Mathis,Life Is A Song Worth Singing,Johnny Mathis
Jolene,Dolly Parton,Jolene,Dolly Parton
I Just Can't Get You Out Of My Mind,Four Tops,I Just Can't Get You Out Of My Mind,Four Tops
Houston (I'm Comin' To See You),Glen Campbell,Houston,Glen Campbell
That's The Sound That Lonely Makes,Tavares,That's The Sound That Lonely Makes,Tavares
"Quick, Fast, In A Hurry",New York City,"Quick, Fast, In A Hurry",New York City
There's Got To Be Rain In Your Life (To Appreciate The Sunshine),Dorothy Norwood,There's Got To Be Rain In Your Life,Dorothy Norwood
The Crude Oil Blues,Jerry Reed,The Crude Oil Blues,Jerry Reed
Midnight Rider,Gregg Allman,Midnight Rider,Gregg Allman
I've Got To Use My Imagination,Gladys Knight And The Pips,I've Got To Use My Imagination,Gladys Knight
Jim Dandy,Black Oak Arkansas,Jim Dandy,Black Oak Arkansas
Can This Be Real,Natural Four,Can This Be Real,Natural Four
In The Mood,Bette Midler,In The Mood,Bette Midler
What It Comes Down To,The Isley Brothers,What It Comes Down To,The Isley Brothers
Stop To Start,Blue Magic,Stop To Start,Blue Magic
Get That Gasoline Blues,NRBQ,Get That Gasoline Blues,NRBQ
Newsy Neighbors,First Choice,Newsy Neighbors,First Choice
The Joker,The Steve Miller Band,The Joker,The Steve Miller Band
Smokin' In The Boy's Room,Brownsville Station,Smokin' In The Boy's Room,Brownsville Station
Living For The City,Stevie Wonder,Living For The City,Stevie Wonder
Baby Come Close,Smokey Robinson,Baby Come Close,Smokey Robinson
You Sure Love To Ball,Marvin Gaye,You Sure Love To Ball,Marvin Gaye
I Miss You,The Dells,I Miss You,The Dells
What Is Hip?,Tower Of Power,What Is Hip?,Tower Of Power
A Mother For My Children,The Whispers,A Mother For My Children,The Whispers
Try (Try To Fall In Love),Cooker,Try,Cooker
"Never, Never Gonna Give Ya Up",Barry White,"Never, Never Gonna Give Ya Up",Barry White
Daddy What If,Bobby Bare,Daddy What If,Bobby Bare
The Most Beautiful Girl,Charlie Rich,The Most Beautiful Girl,Charlie Rich
Time In A Bottle,Jim Croce,Time In A Bottle,Jim Croce
The Americans (A Canadian's Opinion),Gordon Sinclair,The Americans,Gordon Sinclair
You're So Unique,Billy Preston,You're So Unique,Billy Preston
I Shall Sing,Garfunkel,I Shall Sing,Garfunkel
Jessica,The Allman Brothers Band,Jessica,The Allman Brothers Band
Let Me Get To Know You,Paul Anka,Let Me Get To Know You,Paul Anka
The Americans (A Canadian's Opinion),Tex Ritter,The Americans,Tex Ritter
"""Joy"" Pt. I",Isaac Hayes,"""Joy"" Pt. I",Isaac Hayes
Livin' For You,Al Green,Livin' For You,Al Green
Leave Me Alone (ruby Red Dress),Helen Reddy,Leave Me Alone,Helen Reddy
Me And Baby Brother,War,Me And Baby Brother,War
Goodbye Yellow Brick Road,Elton John,Goodbye Yellow Brick Road,Elton John
Helen Wheels,Paul McCartney And Wings,Helen Wheels,Paul McCartney
Rockin' Roll Baby,The Stylistics,Rockin' Roll Baby,The Stylistics
Let Your Hair Down,The Temptations,Let Your Hair Down,The Temptations
Hello It's Me,Todd Rundgren,Hello It's Me,Todd Rundgren
Top Of The World,Carpenters,Top Of The World,Carpenters
Teenage Lament '74,Alice Cooper,Teenage Lament '74,Alice Cooper
When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,When I Fall In Love/Are You Lonesome Tonight,Donny Osmond
The Real Me,The Who,The Real Me,The Who
Walk Like A Man,Grand Funk,Walk Like A Man,Grand Funk
Sister Mary Elephant (Shudd-Up!),Cheech & Chong,Sister Mary Elephant,Cheech
If You're Ready (Come Go With Me),The Staple Singers,If You're Ready,The Staple Singers
This Time I'm Gone For Good,"Bobby ""Blue"" Bland",This Time I'm Gone For Good,"Bobby ""Blue"" Bland"
Love Has No Pride,Linda Ronstadt,Love Has No Pride,Linda Ronstadt
Raised On Robbery,Joni Mitchell,Raised On Robbery,Joni Mitchell
Wang Dang Doodle,The Pointer Sisters,Wang Dang Doodle,The Pointer Sisters
Stoned To The Bone - Part 1,James Brown,Stoned To The Bone - Part 1,James Brown
Flashback,The 5th Dimension,Flashback,The 5th Dimension
If We Make It Through December,Merle Haggard,If We Make It Through December,Merle Haggard
MIND GAMES,John Lennon,MIND GAMES,John Lennon
Just You 'n' Me,Chicago,Just You 'n' Me,Chicago
"One Tin Soldier, The Legend of Billy Jack",Coven,"One Tin Soldier, The Legend of Billy Jack",Coven
D'yer Mak'er,Led Zeppelin,D'yer Mak'er,Led Zeppelin
American Tune,Paul Simon,American Tune,Paul Simon
(I'd Know You) Anywhere,Ashford & Simpson, Anywhere,Ashford
Meadows,Joe Walsh,Meadows,Joe Walsh
My Music,Loggins & Messina,My Music,Loggins
Painted Ladies,Ian Thomas,Painted Ladies,Ian Thomas
A Fool Such As I,Bob Dylan,A Fool Such As I,Bob Dylan
Keep Your Head To The Sky,"Earth, Wind & Fire",Keep Your Head To The Sky,Earth
Who's In The Strawberry Patch With Sally,Tony Orlando & Dawn,Who's In The Strawberry Patch With Sally,Tony Orlando
The Love I Lost (Part 1),Harold Melvin And The Blue Notes,The Love I Lost,Harold Melvin
It Doesn't Have To Be That Way,Jim Croce,It Doesn't Have To Be That Way,Jim Croce
I Got A Name,Jim Croce,I Got A Name,Jim Croce
Come Get To This,Marvin Gaye,Come Get To This,Marvin Gaye
Hangin' Around,Edgar Winter Group,Hangin' Around,Edgar Winter Group
This Is Your Song,Don Goodwin,This Is Your Song,Don Goodwin
Can't Say Nothin',Curtis Mayfield,Can't Say Nothin',Curtis Mayfield
I Can't Stand The Rain,Ann Peebles,I Can't Stand The Rain,Ann Peebles
Photograph,Ringo Starr,Photograph,Ringo Starr
Tell Her She's Lovely,El Chicano,Tell Her She's Lovely,El Chicano
I Wanna Know Your Name,The Intruders,I Wanna Know Your Name,The Intruders
A Song I'd Like To Sing,Kris Kristofferson & Rita Coolidge,A Song I'd Like To Sing,Kris Kristofferson
Space Race,Billy Preston,Space Race,Billy Preston
Last Kiss,J. Frank Wilson and The Cavaliers,Last Kiss,J. Frank Wilson
I Found Sunshine,The Chi-lites,I Found Sunshine,The Chi-lites
"Please, Daddy",John Denver,"Please, Daddy",John Denver
The River Of Love,B.W. Stevenson,The River Of Love,B.W. Stevenson
Let Me Try Again (Laisse Moi Le Temps),Frank Sinatra,Let Me Try Again,Frank Sinatra
Let Me Serenade You,Three Dog Night,Let Me Serenade You,Three Dog Night
Some Guys Have All The Luck,The Persuaders,Some Guys Have All The Luck,The Persuaders
Somewhere Between Love And Tomorrow,Roy Clark,Somewhere Between Love And Tomorrow,Roy Clark
Midnight Train To Georgia,Gladys Knight And The Pips,Midnight Train To Georgia,Gladys Knight
Smarty Pants,First Choice,Smarty Pants,First Choice
Ain't Got No Home,The Band,Ain't Got No Home,The Band
Blue Collar,Bachman-Turner Overdrive,Blue Collar,Bachman-Turner Overdrive
Will You Love Me Tomorrow?,Melanie,Will You Love Me Tomorrow?,Melanie
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited,"It May Be Winter Outside,",Love Unlimited
Could You Ever Love Me Again,Gary & Dave,Could You Ever Love Me Again,Gary
Heartbeat - It's A Lovebeat,The DeFranco Family featuring Tony DeFranco,Heartbeat - It's A Lovebeat,The DeFranco Family
Keep On Truckin' (Part 1),Eddie Kendricks,Keep On Truckin',Eddie Kendricks
Paper Roses,Marie Osmond,Paper Roses,Marie Osmond
Corazón,Carole King,Corazón,Carole King
River,Joe Simon,River,Joe Simon
"Love, Reign O'er Me",The Who,"Love, Reign O'er Me",The Who
My Old School,Steely Dan,My Old School,Steely Dan
Big Time Operator,Keith Hampshire,Big Time Operator,Keith Hampshire
Half A Million Miles From Home,Albert Hammond,Half A Million Miles From Home,Albert Hammond
Fell For You,The Dramatics,Fell For You,The Dramatics
You're A Special Part Of Me,Diana Ross & Marvin Gaye,You're A Special Part Of Me,Diana Ross
Cheaper To Keep Her,Johnnie Taylor,Cheaper To Keep Her,Johnnie Taylor
Why Me,Kris Kristofferson,Why Me,Kris Kristofferson
Angie,The Rolling Stones,Angie,The Rolling Stones
Be,Neil Diamond,Be,Neil Diamond
Pretty Lady,Lighthouse,Pretty Lady,Lighthouse
Come Live With Me,Ray Charles,Come Live With Me,Ray Charles
I'm A Rocker,Raspberries,I'm A Rocker,Raspberries
Knockin' On Heaven's Door,Bob Dylan,Knockin' On Heaven's Door,Bob Dylan
All I Know,Garfunkel,All I Know,Garfunkel
Nutbush City Limits,Ike & Tina Turner,Nutbush City Limits,Ike
Half-Breed,Cher,Half-Breed,Cher
Ooh Baby,Gilbert O'Sullivan,Ooh Baby,Gilbert O'Sullivan
Never Let You Go,Bloodstone,Never Let You Go,Bloodstone
Mammy Blue,Stories,Mammy Blue,Stories
Love Me For What I Am/there Ain't No Way,Lobo,Love Me For What I Am/there Ain't No Way,Lobo
We May Never Pass This Way (Again),Seals & Crofts,We May Never Pass This Way,Seals
Ramblin Man,The Allman Brothers Band,Ramblin Man,The Allman Brothers Band
Sweet Understanding Love,Four Tops,Sweet Understanding Love,Four Tops
Check It Out,Tavares,Check It Out,Tavares
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),"""Having A Party"" Medley",The Ovations (Featuring Louis Williams)
Country Sunshine,Dottie West,Country Sunshine,Dottie West
Sail Around The World,David Gates,Sail Around The World,David Gates
It's All Over,The Independents,It's All Over,The Independents
"I Don't Know What It Is, But It Sure Is Funky",Ripple,"I Don't Know What It Is, But It Sure Is Funky",Ripple
Little Girl Gone,Donna Fargo,Little Girl Gone,Donna Fargo
Yes We Can Can,The Pointer Sisters,Yes We Can Can,The Pointer Sisters
Friends/chapel Of Love,Bette Midler,Friends/chapel Of Love,Bette Midler
There Ain't No Way,Lobo,There Ain't No Way,Lobo
Oh! No Not My Baby,Rod Stewart,Oh! No Not My Baby,Rod Stewart
Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson,Rock 'N Roll,Kevin Johnson
Frisky,Sly & The Family Stone,Frisky,Sly
Redneck Friend,Jackson Browne,Redneck Friend,Jackson Browne
Back For A Taste Of Your Love,Syl Johnson,Back For A Taste Of Your Love,Syl Johnson
That Lady (Part 1),The Isley Brothers,That Lady,The Isley Brothers
Summer (The First Time),Bobby Goldsboro,Summer,Bobby Goldsboro
Hurts So Good,Millie Jackson,Hurts So Good,Millie Jackson
Get It Together,Jackson 5,Get It Together,Jackson 5
My Pretending Days Are Over,The Dells,My Pretending Days Are Over,The Dells
Funky Stuff,Kool & The Gang,Funky Stuff,Kool
I'm Coming Home,Johnny Mathis,I'm Coming Home,Johnny Mathis
Vado Via,Drupi,Vado Via,Drupi
Stealin',Uriah Heep,Stealin',Uriah Heep
Let's Get It On,Marvin Gaye,Let's Get It On,Marvin Gaye
Higher Ground,Stevie Wonder,Higher Ground,Stevie Wonder
Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds)
We're An American Band,Grand Funk,We're An American Band,Grand Funk
Ecstasy,Ohio Players,Ecstasy,Ohio Players
Basketball Jones Featuring Tyrone Shoelaces,Cheech & Chong,Basketball Jones,Cheech
Free Ride,Edgar Winter Group,Free Ride,Edgar Winter Group
Jesse,Roberta Flack,Jesse,Roberta Flack
Rocky Mountain Way,Joe Walsh,Rocky Mountain Way,Joe Walsh
Raised On Rock/For Ol' Times Sake,Elvis Presley,Raised On Rock/For Ol' Times Sake,Elvis Presley
You're In Good Hands,Jermaine Jackson,You're In Good Hands,Jermaine Jackson
My Maria,B.W. Stevenson,My Maria,B.W. Stevenson
China Grove,The Doobie Brothers,China Grove,The Doobie Brothers
You've Never Been This Far Before,Conway Twitty,You've Never Been This Far Before,Conway Twitty
Let Me In,The Osmonds,Let Me In,The Osmonds
Let Me Be Your Lovemaker,Betty Wright,Let Me Be Your Lovemaker,Betty Wright
If I Were Only A Child Again,Curtis Mayfield,If I Were Only A Child Again,Curtis Mayfield
Such A Night,Dr. John,Such A Night,Dr. John
Sister James,Nino Tempo And 5th Ave. Sax,Sister James,Nino Tempo
Life Ain't Easy,Dr. Hook And The Medicine Show,Life Ain't Easy,Dr. Hook
Gotta Find A Way,Moments,Gotta Find A Way,Moments
You'd Better Believe It,The Manhattans,You'd Better Believe It,The Manhattans
I Won't Last A Day Without You,Maureen McGovern,I Won't Last A Day Without You,Maureen McGovern
Delta Dawn,Helen Reddy,Delta Dawn,Helen Reddy
In The Midnight Hour,Cross Country,In The Midnight Hour,Cross Country
(I Don't Want To Love You But) You Got Me Anyway,Sutherland Brothers And Quiver, You Got Me Anyway,Sutherland Brothers
To Know You Is To Love You,B.B. King,To Know You Is To Love You,B.B. King
Outlaw Man,Eagles,Outlaw Man,Eagles
Rubber Bullets,10cc,Rubber Bullets,10cc
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,Hank Wilson,Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,Hank Wilson
"Hey, Little Girl",Foster Sylvers,"Hey, Little Girl",Foster Sylvers
"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn Featuring Tony Orlando,"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn
Jimmy Loves Mary-Anne,Looking Glass,Jimmy Loves Mary-Anne,Looking Glass
Stoned Out Of My Mind,The Chi-lites,Stoned Out Of My Mind,The Chi-lites
Ashes To Ashes,The 5th Dimension,Ashes To Ashes,The 5th Dimension
Hey Girl (i Like Your Style),The Temptations,Hey Girl,The Temptations
Ridin' My Thumb To Mexico,Johnny Rodriguez,Ridin' My Thumb To Mexico,Johnny Rodriguez
West Coast Woman,Painter,West Coast Woman,Painter
Take A Closer Look At The Woman You're With,Wilson Pickett,Take A Closer Look At The Woman You're With,Wilson Pickett
Mr. Skin,Spirit,Mr. Skin,Spirit
Brother Louie,Stories,Brother Louie,Stories
Touch Me In The Morning,Diana Ross,Touch Me In The Morning,Diana Ross
Theme From Cleopatra Jones,Joe Simon featuring The Mainstreeters,Theme From Cleopatra Jones,Joe Simon
Saturday Night's Alright For Fighting,Elton John,Saturday Night's Alright For Fighting,Elton John
If You Want Me To Stay,Sly & The Family Stone,If You Want Me To Stay,Sly
Woman From Tokyo,Deep Purple,Woman From Tokyo,Deep Purple
This Time It's Real,Tower Of Power,This Time It's Real,Tower Of Power
Everybody's Had The Blues,Merle Haggard And The Strangers,Everybody's Had The Blues,Merle Haggard
You're The Best Thing That Ever Happened To Me,Ray Price,You're The Best Thing That Ever Happened To Me,Ray Price
Blood Red And Goin' Down,Tanya Tucker,Blood Red And Goin' Down,Tanya Tucker
Slippin' Away,Jean Shepard,Slippin' Away,Jean Shepard
Kid Stuff,Barbara Fairchild,Kid Stuff,Barbara Fairchild
Gypsy Man,War,Gypsy Man,War
Here I Am Come & Take Me,Al Green,Here I Am Come & Take Me,Al Green
I've Got So Much To Give,Barry White,I've Got So Much To Give,Barry White
Rhapsody In Blue,Deodato,Rhapsody In Blue,Deodato
Loving Arms,Dobie Gray,Loving Arms,Dobie Gray
Evil,"Earth, Wind & Fire",Evil,Earth
Love Is All,Engelbert Humperdinck,Love Is All,Engelbert Humperdinck
Farewell Andromeda (Welcome To My Morning),John Denver,Farewell Andromeda,John Denver
Tonight,Raspberries,Tonight,Raspberries
Live And Let Die,Wings,Live And Let Die,Wings
I Believe In You (You Believe In Me),Johnnie Taylor,I Believe In You,Johnnie Taylor
"Sexy, Sexy, Sexy",James Brown,"Sexy, Sexy, Sexy",James Brown
Ghetto Child,The Spinners,Ghetto Child,The Spinners
Feelin' Stronger Every Day,Chicago,Feelin' Stronger Every Day,Chicago
Muskrat Love,America,Muskrat Love,America
He,Today's People,He,Today's People
Make Me Twice The Man,New York City,Make Me Twice The Man,New York City
Get Down,Gilbert O'Sullivan,Get Down,Gilbert O'Sullivan
Sweet Harmony,Smokey Robinson,Sweet Harmony,Smokey Robinson
The Morning After,Maureen McGovern,The Morning After,Maureen McGovern
The Last Thing On My Mind,Neil Diamond,The Last Thing On My Mind,Neil Diamond
Angel,Aretha Franklin,Angel,Aretha Franklin
Freedom For The Stallion,The Hues Corporation,Freedom For The Stallion,The Hues Corporation
Send A Little Love My Way,Anne Murray,Send A Little Love My Way,Anne Murray
Parrty - Part I,Maceo And The Macks,Parrty - Part I,Maceo
That's Why You Remember,Kenny Karen,That's Why You Remember,Kenny Karen
As Time Goes By,Nilsson,As Time Goes By,Nilsson
A Million To One/Young Love,Donny Osmond,A Million To One/Young Love,Donny Osmond
There It Is,Tyrone Davis,There It Is,Tyrone Davis
Nobody Wants You When You're Down And Out,Bobby Womack,Nobody Wants You When You're Down And Out,Bobby Womack
Sweet Charlie Babe,Jackie Moore,Sweet Charlie Babe,Jackie Moore
Future Shock,Curtis Mayfield,Future Shock,Curtis Mayfield
Just Don't Want To Be Lonely,Ronnie Dyson,Just Don't Want To Be Lonely,Ronnie Dyson
Don't Let It End ('til You Let It Begin),The Miracles,Don't Let It End,The Miracles
All I Need Is Time,Gladys Knight And The Pips,All I Need Is Time,Gladys Knight
Twisting The Night Away,Rod Stewart,Twisting The Night Away,Rod Stewart
The Peacemaker,Albert Hammond,The Peacemaker,Albert Hammond
Queen Of The Roller Derby,Leon Russell,Queen Of The Roller Derby,Leon Russell
"They're Coming To Take Me Away, Ha-Haaa!",Napoleon XIV,"They're Coming To Take Me Away, Ha-Haaa!",Napoleon XIV
Hang Loose,Mandrill,Hang Loose,Mandrill
Are You Man Enough,Four Tops,Are You Man Enough,Four Tops
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monster Mash,"Bobby ""Boris"" Pickett"
Uneasy Rider,Charlie Daniels,Uneasy Rider,Charlie Daniels
"Bad, Bad Leroy Brown",Jim Croce,"Bad, Bad Leroy Brown",Jim Croce
Slick,Willie Hutch,Slick,Willie Hutch
Show Biz Kids,Steely Dan,Show Biz Kids,Steely Dan
Make Up Your Mind,The J. Geils Band,Make Up Your Mind,The J. Geils Band
Soul Je T'aime,Sylvia And Ralfi Pagan,Soul Je T'aime,Sylvia
How Can I Tell Her,Lobo,How Can I Tell Her,Lobo
You Light Up My Life/Believe In Humanity,Carole King,You Light Up My Life/Believe In Humanity,Carole King
I Was Checkin' Out She Was Checkin' In,Don Covay,I Was Checkin' Out She Was Checkin' In,Don Covay
Baby I've Been Missing You,The Independents,Baby I've Been Missing You,The Independents
Diamond Girl,Seals & Crofts,Diamond Girl,Seals
The Hurt,Cat Stevens,The Hurt,Cat Stevens
Smoke On The Water,Deep Purple,Smoke On The Water,Deep Purple
Billion Dollar Babies,Alice Cooper,Billion Dollar Babies,Alice Cooper
Until It's Time For You To Go,The New Birth,Until It's Time For You To Go,The New Birth
Yesterday Once More,Carpenters,Yesterday Once More,Carpenters
So Very Hard To Go,Tower Of Power,So Very Hard To Go,Tower Of Power
Shambala,Three Dog Night,Shambala,Three Dog Night
Behind Closed Doors,Charlie Rich,Behind Closed Doors,Charlie Rich
Clouds,David Gates,Clouds,David Gates
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel,Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel
Bongo Rock,The Incredible Bongo Band,Bongo Rock,The Incredible Bongo Band
"Love, Love, Love",Donny Hathaway,"Love, Love, Love",Donny Hathaway
Top Of The World,Lynn Anderson,Top Of The World,Lynn Anderson
Stay Away From Me,The Sylvers,Stay Away From Me,The Sylvers
Natural High,Bloodstone,Natural High,Bloodstone
Money,Pink Floyd,Money,Pink Floyd
Will It Go Round In Circles,Billy Preston,Will It Go Round In Circles,Billy Preston
Boogie Woogie Bugle Boy,Bette Midler,Boogie Woogie Bugle Boy,Bette Midler
Right Place Wrong Time,Dr. John,Right Place Wrong Time,Dr. John
Misdemeanor,Foster Sylvers,Misdemeanor,Foster Sylvers
Playground In My Mind,Clint Holmes,Playground In My Mind,Clint Holmes
Where Peaceful Waters Flow,Gladys Knight And The Pips,Where Peaceful Waters Flow,Gladys Knight
Sixty Minute Man/Mother-In-Law,Clarence Carter,Sixty Minute Man/Mother-In-Law,Clarence Carter
One Tin Soldier (The Legend of Billy Jack),Coven,One Tin Soldier,Coven
The Long Way Home,Neil Diamond,The Long Way Home,Neil Diamond
Sylvia,Focus,Sylvia,Focus
Long Train Runnin',The Doobie Brothers,Long Train Runnin',The Doobie Brothers
Soul Makossa,Manu Dibango,Soul Makossa,Manu Dibango
I'll Always Love My Mama (Part I),The Intruders,I'll Always Love My Mama,The Intruders
Give Me Love - (Give Me Peace On Earth),George Harrison,Give Me Love -,George Harrison
Kodachrome,Paul Simon,Kodachrome,Paul Simon
There's No Me Without You,The Manhattans,There's No Me Without You,The Manhattans
Satin Sheets,Jeanne Pruett,Satin Sheets,Jeanne Pruett
Didn't I,Sylvia (r&b),Didn't I,Sylvia (r&b)
"Lord, Mr. Ford",Jerry Reed,"Lord, Mr. Ford",Jerry Reed
Think,James Brown,Think,James Brown
Doing It To Death,Fred Wesley & The J.B.'s,Doing It To Death,Fred Wesley
My Love,Paul McCartney And Wings,My Love,Paul McCartney
Over The Hills And Far Away,Led Zeppelin,Over The Hills And Far Away,Led Zeppelin
Roll Over Beethoven,Electric Light Orchestra,Roll Over Beethoven,Electric Light Orchestra
Darling Come Back Home,Eddie Kendricks,Darling Come Back Home,Eddie Kendricks
It's Forever,The Ebonys,It's Forever,The Ebonys
Pillow Talk,Sylvia (r&b),Pillow Talk,Sylvia (r&b)
Tequila Sunrise,Eagles,Tequila Sunrise,Eagles
I'm Gonna Love You Just A Little More Baby,Barry White,I'm Gonna Love You Just A Little More Baby,Barry White
"Never, Never, Never (Grande, Grande, Grande)",Shirley Bassey,"Never, Never, Never",Shirley Bassey
L.a. Freeway,Jerry Jeff Walker,L.a. Freeway,Jerry Jeff Walker
One Of A Kind (Love Affair),The Spinners,One Of A Kind,The Spinners
Soul Makossa,Afrique,Soul Makossa,Afrique
"Daddy Could Swear, I Declare",Gladys Knight And The Pips,"Daddy Could Swear, I Declare",Gladys Knight
Time To Get Down,The O'Jays,Time To Get Down,The O'Jays
Goin' Home,The Osmonds,Goin' Home,The Osmonds
Finder's Keepers,Chairman Of The Board,Finder's Keepers,Chairman Of The Board
Give Your Baby A Standing Ovation,The Dells,Give Your Baby A Standing Ovation,The Dells
He Did With Me,Vicki Lawrence,He Did With Me,Vicki Lawrence
There You Go,Edwin Starr,There You Go,Edwin Starr
Sunshine,Mickey Newbury,Sunshine,Mickey Newbury
Smoke! Smoke! Smoke! (That Cigarette),Commander Cody,Smoke! Smoke! Smoke!,Commander Cody
Friend Of Mine,Bill Withers,Friend Of Mine,Bill Withers
Watergrate,Dickie Goodman,Watergrate,Dickie Goodman
The Plastic Man,The Temptations,The Plastic Man,The Temptations
And I Love You So,Perry Como,And I Love You So,Perry Como
Swamp Witch,Jim Stafford,Swamp Witch,Jim Stafford
Blockbuster,The Sweet,Blockbuster,The Sweet
I'd Rather Be A Cowboy,John Denver,I'd Rather Be A Cowboy,John Denver
Roland The Roadie And Gertrude The Groupie,Dr. Hook And The Medicine Show,Roland The Roadie And Gertrude The Groupie,Dr. Hook
My Merry-go-round,Johnny Nash,My Merry-go-round,Johnny Nash
Black Byrd,Donald Byrd,Black Byrd,Donald Byrd
You Were Always There,Donna Fargo,You Were Always There,Donna Fargo
Frankenstein,Edgar Winter Group,Frankenstein,Edgar Winter Group
Hey You! Get Off My Mountain,The Dramatics,Hey You! Get Off My Mountain,The Dramatics
You'll Never Get To Heaven (If You Break My Heart),The Stylistics,You'll Never Get To Heaven,The Stylistics
Be What You Are,The Staple Singers,Be What You Are,The Staple Singers
Brother's Gonna Work It Out,Willie Hutch,Brother's Gonna Work It Out,Willie Hutch
Giving It All Away,Roger Daltrey,Giving It All Away,Roger Daltrey
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn
I'm Doin' Fine Now,New York City,I'm Doin' Fine Now,New York City
Daniel,Elton John,Daniel,Elton John
Give It To Me,The J. Geils Band,Give It To Me,The J. Geils Band
Drift Away,Dobie Gray,Drift Away,Dobie Gray
What About Me,Anne Murray,What About Me,Anne Murray
First Cut Is The Deepest,Keith Hampshire,First Cut Is The Deepest,Keith Hampshire
You Always Come Back (To Hurting Me),Johnny Rodriguez,You Always Come Back,Johnny Rodriguez
Hello Stranger,Fire And Rain,Hello Stranger,Fire
You Are The Sunshine Of My Life,Stevie Wonder,You Are The Sunshine Of My Life,Stevie Wonder
Let's Pretend,Raspberries,Let's Pretend,Raspberries
Back When My Hair Was Short,Gunhill Road,Back When My Hair Was Short,Gunhill Road
The Free Electric Band,Albert Hammond,The Free Electric Band,Albert Hammond
Love And Happiness,Earnest Jackson,Love And Happiness,Earnest Jackson
Kids Say The Darndest Things,Tammy Wynette,Kids Say The Darndest Things,Tammy Wynette
Wildflower,Skylark,Wildflower,Skylark
Hocus Pocus,Focus,Hocus Pocus,Focus
No More Mr. Nice Guy,Alice Cooper,No More Mr. Nice Guy,Alice Cooper
Leaving Me,The Independents,Leaving Me,The Independents
Stuck In The Middle With You,Stealers Wheel,Stuck In The Middle With You,Stealers Wheel
Steamroller Blues/Fool,Elvis Presley,Steamroller Blues/Fool,Elvis Presley
Close Your Eyes,Edward Bear,Close Your Eyes,Edward Bear
Letter To Lucille,Tom Jones,Letter To Lucille,Tom Jones
Funky Worm,Ohio Players,Funky Worm,Ohio Players
Mother-in-law,Clarence Carter,Mother-in-law,Clarence Carter
Teddy Bear Song,Barbara Fairchild,Teddy Bear Song,Barbara Fairchild
Shambala,B.W. Stevenson,Shambala,B.W. Stevenson
I Can Make It Thru The Days (But Oh Those Lonely Nights),Ray Charles,I Can Make It Thru The Days,Ray Charles
I Don't Want To Make You Wait,The Delfonics,I Don't Want To Make You Wait,The Delfonics
My Heart Just Keeps On Breakin',The Chi-lites,My Heart Just Keeps On Breakin',The Chi-lites
Avenging Annie,Andy Pratt,Avenging Annie,Andy Pratt
Little Willy,The Sweet,Little Willy,The Sweet
The Night The Lights Went Out In Georgia,Vicki Lawrence,The Night The Lights Went Out In Georgia,Vicki Lawrence
Reeling In The Years,Steely Dan,Reeling In The Years,Steely Dan
Thinking Of You,Loggins & Messina,Thinking Of You,Loggins
The Right Thing To Do,Carly Simon,The Right Thing To Do,Carly Simon
Super Fly Meets Shaft,John & Ernest,Super Fly Meets Shaft,John
Music Everywhere,Tufano & Giammarese,Music Everywhere,Tufano
