song,artist,song_clean,artist_clean
Lick Back,EST Gee,Lick Back,EST Gee
Ski,Young Thug & Gunna,Ski,Young Thug
Minimum Wage,Blake Shelton,Minimum Wage,Blake Shelton
Still Chose You,The Kid LAROI Featuring Mustard,Still Chose You,The Kid LAROI
Drivers License,Olivia Rodrigo,Drivers License,Olivia Rodrigo
Tell The Vision,Pop Smoke Featuring Kanye West & Pusha T,Tell The Vision,Pop Smoke
pov,Ariana Grande,pov,Ariana Grande
Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg,Bout A Million,Pop Smoke
Mr. Jones,Pop Smoke Featuring Future,Mr. Jones,Pop Smoke
More Time,Pop Smoke,More Time,Pop Smoke
Manslaughter,Pop Smoke Featuring Rick Ross & The-Dream,Manslaughter,Pop Smoke
Demeanor,Pop Smoke Featuring Dua Lipa,Demeanor,Pop Smoke
transparentsoul,Willow Featuring Travis Barker,transparentsoul,Willow
Am I The Only One,Aaron Lewis,Am I The Only One,Aaron Lewis
30,Pop Smoke Featuring Bizzy Banks,30,Pop Smoke
"Jealousy, Jealousy",Olivia Rodrigo,"Jealousy, Jealousy",Olivia Rodrigo
Calling My Phone,Lil Tjay Featuring 6LACK,Calling My Phone,Lil Tjay
Breaking Up Was Easy In The 90's,Sam Hunt,Breaking Up Was Easy In The 90's,Sam Hunt
The Jackie,Bas With J. Cole & Lil TJay,The Jackie,Bas
Follow You,Imagine Dragons,Follow You,Imagine Dragons
Volando,"Mora, Bad Bunny & Sech",Volando,Mora
4 Da Gang,42 Dugg & Roddy Ricch,4 Da Gang,42 Dugg
De Museo,Bad Bunny,De Museo,Bad Bunny
Wasting Time,Brent Faiyaz Featuring Drake,Wasting Time,Brent Faiyaz
All I Know So Far,P!nk,All I Know So Far,P!nk
Track Star,Mooski,Track Star,Mooski
Renegade,Big Red Machine Featuring Taylor Swift,Renegade,Big Red Machine
Cry No More,G Herbo Featuring Polo G & Lil Tjay,Cry No More,G Herbo
Made For You,Jake Owen,Made For You,Jake Owen
Having Our Way,Migos Featuring Drake,Having Our Way,Migos
What's Next,Drake,What's Next,Drake
Enough For You,Olivia Rodrigo,Enough For You,Olivia Rodrigo
Juggernaut,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",Juggernaut,Tyler
Tell Em,Cochise & $NOT,Tell Em,Cochise
Lemonhead,"Tyler, The Creator Featuring 42 Dugg",Lemonhead,Tyler
Lumberjack,"Tyler, The Creator",Lumberjack,Tyler
Almost Maybes,Jordan Davis,Almost Maybes,Jordan Davis
Hot Wind Blows,"Tyler, The Creator Featuring Lil Wayne",Hot Wind Blows,Tyler
Corso,"Tyler, The Creator",Corso,Tyler
I Don't Do Drugs,Doja Cat Featuring Ariana Grande,I Don't Do Drugs,Doja Cat
Sir Baudelaire,"Tyler, The Creator Featuring DJ Drama",Sir Baudelaire,Tyler
Sweet / I Thought You Wanted To Dance,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues",Sweet / I Thought You Wanted To Dance,Tyler
Massa,"Tyler, The Creator",Massa,Tyler
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown",RunItUp,Tyler
Manifesto,"Tyler, The Creator Featuring Domo Genesis",Manifesto,Tyler
Wilshire,"Tyler, The Creator",Wilshire,Tyler
Rise!,"Tyler, The Creator Featuring Daisy World",Rise!,Tyler
What You Know Bout Love,Pop Smoke,What You Know Bout Love,Pop Smoke
Time Today,Moneybagg Yo,Time Today,Moneybagg Yo
Up,Cardi B,Up,Cardi B
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box,SpotemGottem
Nobody,Dylan Scott,Nobody,Dylan Scott
No Return,Polo G Featuring The Kid LAROI & Lil Durk,No Return,Polo G
No More Parties,Coi Leray Featuring Lil Durk,No More Parties,Coi Leray
Quicksand,Morray,Quicksand,Morray
Gang Gang,Polo G & Lil Wayne,Gang Gang,Polo G
Pick Up Your Feelings,Jazmine Sullivan,Pick Up Your Feelings,Jazmine Sullivan
Avalanche,Migos,Avalanche,Migos
We're Good,Dua Lipa,We're Good,Dua Lipa
pride.is.the.devil,J. Cole & Lil Baby,pride.is.the.devil,J. Cole
Still Runnin,"Lil Baby, Lil Durk & Meek Mill",Still Runnin,Lil Baby
How It Feels,Lil Baby & Lil Durk,How It Feels,Lil Baby
Black Hearted,Polo G,Black Hearted,Polo G
Painting Pictures,Polo G,Painting Pictures,Polo G
Modern Day,Migos,Modern Day,Migos
Toxic,Polo G,Toxic,Polo G
Solar Power,Lorde,Solar Power,Lorde
Malibu,Migos Featuring Polo G,Malibu,Migos
Type Shit,Migos & Cardi B,Type Shit,Migos
Clueless,Polo G Featuring Pop Smoke & Fivio Foreign,Clueless,Polo G
Voice Of The Heroes,Lil Baby & Lil Durk,Voice Of The Heroes,Lil Baby
Heart Of A Giant,Polo G Featuring Rod Wave,Heart Of A Giant,Polo G
Party Lyfe,Polo G Featuring DaBaby,Party Lyfe,Polo G
Go Part 1,Polo G Featuring G Herbo,Go Part 1,Polo G
Epidemic,Polo G,Epidemic,Polo G
Boom,Polo G,Boom,Polo G
2040,Lil Baby & Lil Durk,2040,Lil Baby
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,"1 Step Forward, 3 Steps Back",Olivia Rodrigo
Bloody Canvas,Polo G,Bloody Canvas,Polo G
Who I Want,Lil Baby & Lil Durk,Who I Want,Lil Baby
Back In Blood,Pooh Shiesty Featuring Lil Durk,Back In Blood,Pooh Shiesty
Still Hood,Lil Baby & Lil Durk,Still Hood,Lil Baby
Okay,Lil Baby & Lil Durk,Okay,Lil Baby
Man Of My Word,Lil Baby & Lil Durk,Man Of My Word,Lil Baby
Medical,Lil Baby & Lil Durk,Medical,Lil Baby
Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave",Rich Off Pain,Lil Baby
Lying,Lil Baby & Lil Durk,Lying,Lil Baby
Snowflakes,Tom MacDonald,Snowflakes,Tom MacDonald
That's Facts,Lil Baby & Lil Durk,That's Facts,Lil Baby
Your Power,Billie Eilish,Your Power,Billie Eilish
Please,Lil Baby & Lil Durk,Please,Lil Baby
Up The Side,"Lil Baby, Lil Durk & Young Thug",Up The Side,Lil Baby
Hope Ur OK,Olivia Rodrigo,Hope Ur OK,Olivia Rodrigo
If You Want To,Lil Baby & Lil Durk,If You Want To,Lil Baby
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",Seeing Green,Nicki Minaj
The Good Ones,Gabby Barrett,The Good Ones,Gabby Barrett
Hell Of A View,Eric Church,Hell Of A View,Eric Church
On Me,Lil Baby,On Me,Lil Baby
Killer,Eminem Featuring Jack Harlow & Cordae,Killer,Eminem
amari,J. Cole,amari,J. Cole
Goosebumps,Travis Scott & HVME,Goosebumps,Travis Scott
Solid,Young Thug & Gunna Featuring Drake,Solid,Young Thug
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,Hello,Pop Smoke
The Business,Tiesto,The Business,Tiesto
95.south,J. Cole,95.south,J. Cole
Drankin N Smokin,Future & Lil Uzi Vert,Drankin N Smokin,Future
Hold On,Justin Bieber,Hold On,Justin Bieber
Wasted On You,Morgan Wallen,Wasted On You,Morgan Wallen
Botella Tras Botella,Gera MX + Christian Nodal,Botella Tras Botella,Gera MX + Christian Nodal
interlude,J. Cole,interlude,J. Cole
applying.pressure,J. Cole,applying.pressure,J. Cole
Streets,Doja Cat,Streets,Doja Cat
100.mil',J. Cole & Bas,100.mil',J. Cole
let.go.my.hand,"J. Cole, Bas & 6LACK",let.go.my.hand,J. Cole
24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk,24 Hours,A Boogie Wit da Hoodie
punchin'.the.clock,J. Cole,punchin'.the.clock,J. Cole
the.climb.back,J. Cole,the.climb.back,J. Cole
hunger.on.hillside,J. Cole & Bas,hunger.on.hillside,J. Cole
close,J. Cole,close,J. Cole
Fractions,Nicki Minaj,Fractions,Nicki Minaj
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",His & Hers,Internet Money
White Teeth,YoungBoy Never Broke Again,White Teeth,YoungBoy Never Broke Again
Itty Bitty Piggy,Nicki Minaj,Itty Bitty Piggy,Nicki Minaj
Street Runner,Rod Wave,Street Runner,Rod Wave
La Noche de Anoche,Bad Bunny & Rosalia,La Noche de Anoche,Bad Bunny
