song,artist,genre
Roger That,Young Money,Rap/Hip Hop
Say Aah,Trey Songz,R&B
All The Right Moves,OneRepublic,Rock
Carry Out,Timbaland,Pop
Bad Romance,Glee Cast,Pop
Up To The Mountain,Crystal Bowersox,Pop
American Honey,Lady Antebellum,
Beth,Glee Cast,Pop
Leave Right Now,Will Young,Pop
Ain't Back Yet,Kenny Chesney,Country
Highway 20 Ride,Zac Brown Band,Country
The Boxer,Lee DeWyze,
Touchin On My,3OH!3,Alternative
Dream On,Glee Cast,Pop
Who Dat,J. Cole,Rap/Hip Hop
I Dreamed A Dream,Glee Cast,Pop
Jessie's Girl,Glee Cast,Pop
Super High,Rick Ross,Rap/Hip Hop
Neutron Star Collision,Muse,Alternative
Say Something,Timbaland,Pop
Safety Dance,Glee Cast,Pop
Steady Mobbin',Young Money,Rap/Hip Hop
Hell On The Heart,Eric Church,Country
Blah Blah Blah,Ke$ha,Pop
Pyramid,Charice,Pop
A Little More Country Than That,Easton Corbin,Country
Today Was A Fairytale,Taylor Swift,
Window Seat,Erykah Badu,R&B
Backwoods,Justin Moore,Country
Naturally,Selena Gomez,Pop
BedRock,Young Money,Rap/Hip Hop
Live Like We're Dying,Kris Allen,Alternative
One,Glee Cast,Pop
Total Eclipse Of The Heart,Glee Cast,Pop
Drop The World,Lil Wayne,Rap/Hip Hop
The Boy Is Mine,Glee Cast,Pop
Lady Is A Tramp,Glee Cast,Pop
I'm Single,Lil Wayne,Rap/Hip Hop
Rose's Turn,Glee Cast,Pop
I'm Awesome,Spose,Rap/Hip Hop
Gypsy,Shakira,Rock
Fistful Of Tears,Maxwell,R&B
All I Ever Wanted,Kelly Clarkson,Pop
Sexy Chick,David Guetta,Dance
Run Joey Run,Glee Cast,Pop
Ice Ice Baby,Glee Cast,Pop
Hillbilly Bone,Blake Shelton,Country
Physical,Glee Cast,Pop
U Can't Touch This,Glee Cast,Pop
Temporary Home,Carrie Underwood,Country
When I Look At You,Miley Cyrus,Pop
All Or Nothing,Theory Of A Deadman,Rock
Give Me A Sign,Breaking Benjamin,Rock
How Low,Ludacris,Rap/Hip Hop
