period,Pop,Rock,Country,R&B,Rap/Hip Hop,Alternative,Dance,Electro,Films/Games,Latin Music,Christian,Reggae,Jazz,Folk,Metal,Singer & Songwriter,Reggaeton,Asian Music,Disco,Traditional Mexicano,Classical,Kids
2006-W39,0.3076923076923077,0.2153846153846154,0.2153846153846154,0.06153846153846154,0.07692307692307693,0.1076923076923077,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W40,0.3076923076923077,0.2,0.23076923076923078,0.06153846153846154,0.07692307692307693,0.1076923076923077,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W41,0.3384615384615385,0.2153846153846154,0.2153846153846154,0.06153846153846154,0.06153846153846154,0.09230769230769231,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W42,0.3181818181818182,0.19696969696969696,0.22727272727272727,0.06060606060606061,0.09090909090909091,0.07575757575757576,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W43,0.3235294117647059,0.17647058823529413,0.2647058823529412,0.058823529411764705,0.07352941176470588,0.07352941176470588,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W44,0.34285714285714286,0.18571428571428572,0.2571428571428571,0.05714285714285714,0.07142857142857142,0.07142857142857142,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W45,0.4027777777777778,0.16666666666666666,0.2361111111111111,0.06944444444444445,0.06944444444444445,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W46,0.32857142857142857,0.17142857142857143,0.2857142857142857,0.08571428571428572,0.07142857142857142,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W47,0.3382352941176471,0.19117647058823528,0.2647058823529412,0.07352941176470588,0.07352941176470588,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W48,0.31343283582089554,0.1791044776119403,0.2537313432835821,0.07462686567164178,0.1044776119402985,0.07462686567164178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W49,0.3230769230769231,0.18461538461538463,0.24615384615384617,0.07692307692307693,0.12307692307692308,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W50,0.373134328358209,0.1791044776119403,0.23880597014925373,0.05970149253731343,0.1044776119402985,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W51,0.3484848484848485,0.16666666666666666,0.2878787878787879,0.045454545454545456,0.10606060606060606,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W52,0.3384615384615385,0.16923076923076924,0.26153846153846155,0.046153846153846156,0.1076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W01,0.36923076923076925,0.18461538461538463,0.23076923076923078,0.046153846153846156,0.09230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W02,0.3939393939393939,0.16666666666666666,0.22727272727272727,0.045454545454545456,0.07575757575757576,0.07575757575757576,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W03,0.36923076923076925,0.16923076923076924,0.24615384615384617,0.046153846153846156,0.09230769230769231,0.06153846153846154,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W04,0.373134328358209,0.1791044776119403,0.23880597014925373,0.04477611940298507,0.1044776119402985,0.04477611940298507,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W05,0.40298507462686567,0.16417910447761194,0.23880597014925373,0.014925373134328358,0.08955223880597014,0.05970149253731343,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W06,0.36363636363636365,0.16666666666666666,0.22727272727272727,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W07,0.391304347826087,0.11594202898550725,0.2608695652173913,0.028985507246376812,0.08695652173913043,0.08695652173913043,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0
2007-W08,0.417910447761194,0.1044776119402985,0.22388059701492538,0.029850746268656716,0.1044776119402985,0.08955223880597014,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0
2007-W09,0.43283582089552236,0.08955223880597014,0.23880597014925373,0.04477611940298507,0.1044776119402985,0.07462686567164178,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W10,0.4,0.1076923076923077,0.24615384615384617,0.046153846153846156,0.1076923076923077,0.06153846153846154,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W11,0.40625,0.09375,0.234375,0.078125,0.09375,0.078125,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W12,0.36923076923076925,0.09230769230769231,0.24615384615384617,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W13,0.359375,0.109375,0.21875,0.140625,0.09375,0.0625,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W14,0.4090909090909091,0.09090909090909091,0.19696969696969696,0.12121212121212122,0.09090909090909091,0.07575757575757576,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W15,0.3582089552238806,0.1044776119402985,0.23880597014925373,0.11940298507462686,0.1044776119402985,0.05970149253731343,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W16,0.3283582089552239,0.1044776119402985,0.23880597014925373,0.11940298507462686,0.1044776119402985,0.07462686567164178,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358
2007-W17,0.3333333333333333,0.10606060606060606,0.24242424242424243,0.09090909090909091,0.09090909090909091,0.10606060606060606,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152
2007-W18,0.28378378378378377,0.10810810810810811,0.3108108108108108,0.0945945945945946,0.0945945945945946,0.08108108108108109,0.0,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W19,0.30434782608695654,0.11594202898550725,0.2753623188405797,0.11594202898550725,0.07246376811594203,0.08695652173913043,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W20,0.32857142857142857,0.11428571428571428,0.2571428571428571,0.11428571428571428,0.07142857142857142,0.08571428571428572,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W21,0.29577464788732394,0.1267605633802817,0.2676056338028169,0.09859154929577464,0.08450704225352113,0.09859154929577464,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W22,0.29577464788732394,0.11267605633802817,0.2535211267605634,0.1267605633802817,0.07042253521126761,0.11267605633802817,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W23,0.2923076923076923,0.1076923076923077,0.24615384615384617,0.12307692307692308,0.1076923076923077,0.09230769230769231,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W24,0.2698412698412698,0.1111111111111111,0.25396825396825395,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W25,0.2835820895522388,0.1044776119402985,0.23880597014925373,0.14925373134328357,0.11940298507462686,0.07462686567164178,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W26,0.27941176470588236,0.10294117647058823,0.25,0.14705882352941177,0.10294117647058823,0.08823529411764706,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W27,0.28169014084507044,0.11267605633802817,0.22535211267605634,0.15492957746478872,0.09859154929577464,0.08450704225352113,0.0,0.014084507042253521,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W28,0.2647058823529412,0.10294117647058823,0.23529411764705882,0.16176470588235295,0.08823529411764706,0.07352941176470588,0.0,0.014705882352941176,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W29,0.27941176470588236,0.08823529411764706,0.25,0.17647058823529413,0.07352941176470588,0.08823529411764706,0.0,0.014705882352941176,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W30,0.29850746268656714,0.08955223880597014,0.2537313432835821,0.14925373134328357,0.07462686567164178,0.08955223880597014,0.0,0.014925373134328358,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-W31,0.2878787878787879,0.07575757575757576,0.25757575757575757,0.13636363636363635,0.10606060606060606,0.09090909090909091,0.0,0.015151515151515152,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
